Sale_ID,Store_ID,Product_ID,Customer_ID,Staff_ID,Quantity,Unit_Price,Sale_Date,Sales_Channel,Customer_Name,Age,Gender,City,Purchase_Channel,Total_Purchases,Product_Name,Category,Color,Description,Size,Price,Acquisition_Cost,Recency,Frequency,Monetary,YearMonth
1793,2,189,922,352,79,462.8,2019-09-30 07:40:19,Online,Leandro Batista,28,M,Vila do Porto,Física,208.64,Velit,Roupas,Vermelho,Nam expedita temporibus hic impedit recusandae.,L,46.15,20.39,36,22,410111.92,2019-09
1794,1,676,702,348,29,762.3,2015-07-29 02:56:57,Física,Mara Sá,36,F,Nelas,Física,243.35,Tenetur,Roupas,Cinzento,Illo dicta dolorum occaecati itaque cum facere totam.,XXL,42.3,28.97,340,16,470541.09,2015-07
1795,3,997,154,217,45,585.1,2014-08-11 19:30:56,Online,Bruno Lourenço,21,F,Moita,Física,528.3,Ratione,Roupas,Azul,Culpa nihil dolor explicabo est quidem corporis.,M,88.3,13.01,710,22,488010.89999999997,2014-08
1796,5,186,637,482,35,323.38,2024-10-05 17:44:32,Online,Andreia Costa,27,M,Penalva do Castelo,Física,995.01,Animi,Roupas,Roxo,Commodi reprehenderit quaerat modi tempora quae.,XXL,70.77,24.57,68,14,380708.18,2024-10
1797,1,499,560,45,91,633.43,2022-12-02 19:24:30,Online,Vitória-Constança Castro,49,F,Terras de Bouro,Física,734.66,Reprehenderit,Roupas,Azul,Repellat dolores eveniet excepturi deleniti eveniet.,L,58.7,16.34,315,21,534311.86,2022-12
1798,5,587,701,76,4,332.95,2018-08-30 22:32:06,Física,Caetana Fonseca,66,M,Batalha,Física,577.76,Dolores,Calçado,Roxo,Doloremque dolor dolorem deleniti esse doloribus sit.,42,28.63,20.05,728,14,341707.12,2018-08
1799,1,514,15,419,53,606.09,2016-12-06 03:00:27,Física,Erika Moura,58,F,Lagoa,Online,840.05,Similique,Calçado,Verde,Dolore corporis perspiciatis consequatur delectus error ipsa.,38,25.36,14.72,207,22,520273.49,2016-12
1800,3,199,93,38,75,833.26,2022-11-14 12:05:59,Online,Hugo da Rocha,51,F,Monchique,Online,325.67,Eum,Calçado,Roxo,Eius sed fugit mollitia soluta.,41,52.06,48.01,13,19,462100.41,2022-11
1801,1,117,38,134,88,950.19,2023-05-16 10:08:54,Física,Miriam Ribeiro,28,M,Cartaxo,Física,627.73,Libero,Roupas,Branco,Reprehenderit dolorum illum ducimus iste laborum quos corrupti.,XXL,65.89,16.78,202,21,568496.07,2023-05
1802,3,488,413,493,75,435.84,2020-05-23 18:49:42,Física,Manuel do Faria,61,M,Odemira,Online,255.81,Iste,Calçado,Azul,Nostrum culpa adipisci voluptas.,39,31.43,20.02,38,19,383917.5,2020-05
1803,3,256,740,205,10,950.2,2014-07-29 16:40:54,Física,Benjamim Neto-Castro,28,F,Alcoutim,Online,300.19,Voluptate,Calçado,Vermelho,Fugiat reiciendis ipsum molestiae.,45,65.02,26.47,13,36,825943.23,2014-07
1804,1,541,502,496,90,395.0,2017-04-26 12:53:27,Física,Beatriz Soares,60,M,Barrancos,Física,775.15,Quis,Calçado,Preto,Necessitatibus quibusdam illum recusandae iste expedita.,38,27.84,22.9,215,22,542937.82,2017-04
1805,1,564,419,295,5,294.42,2022-08-28 14:14:38,Online,Patrícia da Leal,20,M,Castro Verde,Online,814.46,Excepturi,Roupas,Roxo,Quod consequuntur quisquam magnam vitae aspernatur.,XS,40.19,38.22,148,14,471170.52,2022-08
1806,2,10,10,299,68,201.15,2016-04-09 07:50:31,Física,Ivan Gonçalves,27,M,Trofa,Online,664.39,Animi,Roupas,Rosa,Similique iure blanditiis modi omnis.,XL,89.35,43.99,97,18,431322.7,2016-04
1807,1,964,554,176,44,298.49,2018-10-26 00:47:41,Online,Camila Moura,31,M,Oliveira do Bairro,Online,742.24,Culpa,Roupas,Laranja,Similique laudantium voluptatum veritatis.,S,79.59,48.54,343,24,467559.12,2018-10
1808,4,586,121,105,31,967.67,2024-04-03 05:26:09,Online,Mafalda Torres,70,M,Vizela,Online,541.55,Hic,Calçado,Laranja,Asperiores quia fuga quo.,36,57.08,29.71,261,23,560220.44,2024-04
1809,2,486,345,95,85,41.58,2017-04-29 20:40:57,Online,Xavier Freitas-Neves,34,F,Mora,Online,503.07,Provident,Calçado,Preto,Ipsam deleniti libero neque sequi quasi.,45,51.9,22.06,606,13,238257.28,2017-04
1810,5,141,146,140,13,394.69,2022-12-06 08:31:49,Física,Naiara do Magalhães,70,M,Vila Franca de Xira,Física,694.82,Quidem,Calçado,Preto,Dolores praesentium fugiat blanditiis harum.,36,79.73,28.12,27,18,569767.22,2022-12
1811,5,548,745,216,52,837.98,2015-12-08 21:08:46,Online,Adriana Monteiro,55,F,Vieira do Minho,Física,348.54,Consectetur,Calçado,Azul,Cupiditate corporis placeat quasi.,40,23.2,10.27,35,22,451349.97000000003,2015-12
1812,3,343,399,468,21,859.99,2024-05-01 08:24:42,Física,Joel Torres,36,F,São Brás de Alportel,Física,250.95,Nihil,Roupas,Cinzento,Ratione ipsa voluptates deserunt nostrum.,XS,74.19,22.79,94,22,473174.61,2024-05
1813,4,610,137,410,67,400.08,2014-02-22 14:41:46,Física,Kevin Neves,23,F,Castelo de Paiva,Online,428.51,Maiores,Roupas,Azul,Ipsam saepe similique blanditiis nam voluptates ducimus.,S,45.8,14.59,141,28,842443.5599999999,2014-02
1814,3,240,450,280,93,430.65,2015-10-28 19:47:28,Online,Marco Neto,52,M,Mafra,Física,259.61,Ipsum,Calçado,Vermelho,Repellat autem sint.,43,73.02,13.02,406,22,672393.49,2015-10
1815,5,715,615,479,14,508.46,2018-04-18 11:37:40,Online,Laura Correia,43,F,Castro Verde,Online,857.39,Quos,Calçado,Branco,Qui dolore quasi enim.,35,66.71,40.32,27,31,879397.06,2018-04
1816,1,699,61,75,66,310.78,2023-07-03 08:55:54,Física,Larissa Lourenço,40,F,Almeida,Online,908.04,Rem,Roupas,Cinzento,Perferendis perferendis quae ipsam pariatur ipsum exercitationem.,XL,42.96,38.01,35,14,470129.67,2023-07
1817,4,982,550,103,49,465.48,2014-08-24 21:59:18,Online,Isabela Borges,69,F,Machico,Física,595.37,Quis,Calçado,Roxo,Fugiat laboriosam fugiat veritatis a.,39,71.31,37.22,98,29,742780.87,2014-08
1818,2,68,730,245,95,5.37,2018-03-28 05:05:39,Online,Gil Lopes,18,M,Alenquer,Física,533.31,Incidunt,Roupas,Amarelo,Odit eos adipisci labore id.,XL,78.5,35.66,372,21,670940.17,2018-03
1819,4,593,273,394,80,438.25,2017-01-24 04:16:13,Online,Carolina Alves,38,M,Olhão,Online,587.31,Adipisci,Roupas,Roxo,Dicta porro ipsam nam repellendus.,XXL,37.54,27.52,143,25,690951.7100000001,2017-01
1820,1,18,465,421,10,925.52,2018-07-12 15:00:13,Física,Cláudio Branco,55,M,Guimarães,Física,188.39,Dolores,Roupas,Laranja,Recusandae assumenda commodi cumque.,L,44.25,18.38,22,21,385839.0,2018-07
1821,2,945,659,373,39,502.46,2019-10-10 16:09:39,Online,Nicole Monteiro,51,F,Angra do Heroísmo,Online,688.8,Omnis,Roupas,Branco,Vero ea in aspernatur eaque reiciendis dignissimos.,S,75.94,11.07,156,20,520777.36,2019-10
1822,4,193,926,192,77,574.75,2021-10-19 19:22:57,Online,Bruna da Sousa,32,M,Póvoa de Varzim,Online,158.64,Saepe,Roupas,Branco,Porro minus in dolorum voluptate occaecati.,M,39.86,49.68,216,23,764954.85,2021-10
1823,2,83,201,21,21,619.64,2017-01-01 07:47:34,Online,Micael Nascimento,26,F,Aljezur,Física,518.39,Voluptatem,Calçado,Branco,Incidunt natus dolor sed vero facilis sapiente fuga.,37,46.75,46.37,268,12,294679.56,2017-01
1824,3,526,434,431,73,455.52,2019-08-10 13:46:26,Online,Vera Faria,61,F,Lisboa,Física,368.05,Fuga,Calçado,Laranja,Pariatur reiciendis porro.,41,51.52,45.13,885,17,393221.97,2019-08
1825,5,600,624,278,66,583.98,2023-08-17 00:02:05,Online,Noa Campos,38,F,Velas,Física,495.9,Doloremque,Roupas,Vermelho,Neque sint quisquam quia praesentium magni vero.,S,48.25,41.05,228,15,320145.74,2023-08
1826,1,938,781,209,8,573.82,2023-04-04 11:16:52,Física,Teresa Ramos,22,F,Lourinhã,Física,362.4,Pariatur,Roupas,Vermelho,Hic doloribus cupiditate deserunt dicta.,M,99.92,37.69,15,17,428146.45999999996,2023-04
1827,5,774,797,402,65,649.65,2020-08-28 21:28:18,Online,Rúben Martins,62,F,Beja,Física,691.39,Ullam,Calçado,Roxo,Recusandae reprehenderit asperiores exercitationem ipsa commodi.,40,86.94,18.94,46,23,760999.98,2020-08
1828,1,665,250,179,59,746.99,2018-07-28 04:20:26,Online,Inês Barbosa-Vaz,65,M,Vila Real,Física,371.92,Blanditiis,Roupas,Vermelho,Ipsum consectetur minima tempora suscipit repudiandae accusamus voluptate.,XXL,85.17,20.56,486,15,421459.04,2018-07
1829,1,684,450,303,6,702.1,2019-05-01 00:46:16,Online,Marco Neto,52,M,Mafra,Física,259.61,Esse,Roupas,Rosa,Aperiam distinctio repellendus consequuntur perferendis repellat.,XL,20.43,43.55,406,22,672393.49,2019-05
1830,4,879,542,86,50,825.2,2019-12-27 05:01:04,Online,Érica Soares,66,F,Loures,Física,137.15,Quod,Roupas,Rosa,Commodi corrupti eligendi similique nostrum eos perspiciatis.,XXL,87.2,34.93,53,24,374439.29,2019-12
1831,1,575,34,435,34,427.07,2020-03-28 11:50:17,Física,Petra Borges,26,M,Santa Cruz da Graciosa,Física,994.83,A,Roupas,Preto,Inventore adipisci placeat voluptatibus natus est.,L,52.25,41.0,240,20,334455.96,2020-03
1832,1,449,373,39,51,281.13,2023-09-20 23:05:38,Física,Miguel Esteves,47,M,Benavente,Física,513.3,Rem,Calçado,Roxo,Blanditiis illo iusto vitae distinctio ut aut necessitatibus.,38,65.15,17.96,66,24,366437.31,2023-09
1833,3,360,181,60,7,732.87,2018-11-18 20:19:15,Online,Daniel Gomes,48,M,Lourinhã,Física,901.88,Dolorem,Calçado,Roxo,Debitis aperiam culpa nostrum iusto distinctio maiores.,43,27.11,39.2,128,17,429101.64,2018-11
1834,2,395,735,216,12,939.94,2016-01-11 13:50:49,Online,Isabela Monteiro,69,M,São Brás de Alportel,Física,120.29,Perferendis,Roupas,Azul,Alias aperiam ullam nobis illum adipisci eos.,M,67.94,22.76,47,29,600188.1100000001,2016-01
1835,4,513,871,379,49,502.46,2019-12-26 07:30:31,Online,Fernando Carneiro,28,F,Castelo de Paiva,Online,121.68,Magnam,Roupas,Roxo,Iure animi sapiente labore at.,XL,73.0,49.81,339,27,731657.33,2019-12
1836,4,194,777,2,36,167.79,2019-03-21 15:20:22,Física,Gil Freitas,44,M,Cascais,Física,436.51,Modi,Roupas,Vermelho,Soluta voluptas labore laborum saepe.,XL,89.43,30.86,236,21,477549.68,2019-03
1837,1,305,324,417,61,434.2,2015-01-04 15:57:46,Online,Ema Leal,42,F,Pombal,Física,529.83,Laudantium,Roupas,Verde,Pariatur mollitia nulla aut consequuntur.,M,45.85,30.51,210,19,520971.24,2015-01
1838,1,922,228,64,57,195.26,2024-02-05 18:08:46,Online,Mauro do Torres,67,M,Viana do Alentejo,Online,366.86,Quisquam,Calçado,Vermelho,Omnis iusto sit consequatur.,44,36.01,25.54,15,20,530527.62,2024-02
1839,2,622,777,467,3,547.3,2020-08-26 22:47:14,Online,Gil Freitas,44,M,Cascais,Física,436.51,Amet,Roupas,Roxo,Consequuntur ea sunt.,XS,87.11,39.16,236,21,477549.68,2020-08
1840,4,382,964,405,61,172.79,2023-07-19 17:34:38,Online,Valentim Rocha,53,F,Alenquer,Online,782.36,Veniam,Roupas,Roxo,Quibusdam maiores illum sapiente inventore blanditiis alias.,XL,99.86,28.71,201,18,474058.57,2023-07
1841,3,381,381,335,37,292.78,2022-01-19 13:32:48,Física,Isabel Loureiro,44,M,Vila do Porto,Online,920.05,Nulla,Calçado,Verde,Accusantium doloremque consequuntur odio atque at.,37,94.65,21.74,181,18,383563.14,2022-01
1843,4,56,869,429,82,454.68,2019-03-11 09:33:09,Online,Erica-Emma Amorim,55,F,Monchique,Online,954.2,Placeat,Calçado,Cinzento,Libero quasi eaque quaerat veniam quia.,36,47.17,37.98,174,22,440600.74,2019-03
1844,4,206,755,486,40,113.88,2014-05-31 07:57:07,Física,Luís Silva,25,M,Sousel,Online,663.46,Modi,Roupas,Branco,Quas culpa odit facilis expedita cumque.,L,22.59,43.0,161,24,603284.6,2014-05
1845,5,717,864,457,66,362.91,2020-08-09 06:08:25,Física,Mia Rocha,21,F,Ribeira Grande,Online,568.58,Id,Roupas,Amarelo,Doloribus iste quisquam maiores laudantium dolorem.,XS,98.09,43.93,96,17,419054.58,2020-08
1846,2,168,595,20,50,527.46,2018-09-19 18:38:36,Física,Kevin Garcia,64,M,Beja,Física,580.32,Ullam,Roupas,Verde,Delectus vitae culpa aut.,M,88.07,47.62,327,16,582724.59,2018-09
1847,1,643,932,306,43,203.99,2017-05-03 06:43:30,Online,Bruna Cunha,49,M,Cascais,Física,861.53,Laudantium,Calçado,Laranja,Consectetur aliquam consequuntur repellat odio velit amet.,44,76.08,31.31,142,17,425917.02,2017-05
1848,4,563,363,440,34,725.93,2014-03-11 14:37:14,Online,Teresa Guerreiro,53,M,Oliveira de Azeméis,Física,411.95,Odio,Calçado,Branco,Tempore deserunt facilis voluptatem cupiditate sit repellendus.,39,59.9,38.29,134,17,568990.06,2014-03
1849,5,880,72,210,38,710.86,2019-08-02 11:24:39,Física,Mateus Amaral,44,M,Portel,Online,766.88,Odit,Calçado,Verde,Perferendis magnam aspernatur distinctio occaecati dignissimos molestias.,43,48.52,30.17,46,29,820556.11,2019-08
1850,5,12,862,260,68,48.61,2015-07-07 15:11:11,Online,Luca Mendes,44,M,Lajes das Flores,Online,442.06,Quisquam,Roupas,Verde,Nam in ipsum voluptas quis.,L,34.62,15.05,427,22,498292.62,2015-07
1851,5,857,120,436,54,590.89,2017-05-16 06:25:01,Online,Luís Domingues,56,F,Almada,Online,461.77,Expedita,Roupas,Vermelho,Tenetur distinctio quos corporis est impedit cumque.,M,55.21,28.85,538,22,666849.54,2017-05
1852,5,29,988,462,2,675.63,2024-12-03 11:23:44,Física,Maria Castro,59,M,Murtosa,Física,732.11,Eaque,Calçado,Rosa,Ex voluptates velit.,44,67.21,33.69,29,30,717879.2000000001,2024-12
1853,1,103,765,151,84,590.79,2019-11-30 10:20:53,Física,Ângelo Oliveira,39,M,Tavira,Física,357.8,Iure,Calçado,Amarelo,Harum sapiente iste sequi.,38,23.46,37.7,477,23,628455.51,2019-11
1854,3,658,520,332,91,691.73,2023-04-02 02:03:39,Online,Kelly-Alice Monteiro,20,F,Mértola,Física,981.85,Eius,Roupas,Vermelho,Laborum officiis aliquam ratione quae facilis totam.,XXL,71.97,30.59,305,14,547810.62,2023-04
1855,2,445,652,244,93,608.55,2021-12-22 15:44:18,Física,Fabiana Mendes,51,F,Oliveira do Hospital,Física,560.13,Rerum,Calçado,Roxo,Ea quaerat labore enim fuga suscipit qui.,38,32.21,34.72,197,22,671915.7999999999,2021-12
1856,3,421,458,285,2,579.9,2023-08-22 12:11:11,Online,Xavier da Ribeiro,24,M,Castro Marim,Física,902.56,Delectus,Roupas,Amarelo,Esse est laudantium perspiciatis ea aspernatur sunt.,L,44.14,16.35,45,28,753264.74,2023-08
1857,5,879,627,282,1,661.29,2018-10-24 16:50:35,Física,Raquel Loureiro,25,M,Lousã,Física,226.56,Quod,Roupas,Rosa,Commodi corrupti eligendi similique nostrum eos perspiciatis.,XXL,87.2,34.93,318,22,561067.16,2018-10
1858,3,923,82,277,44,142.87,2019-04-21 15:50:07,Online,Alexandre Machado,42,M,Oliveira do Hospital,Online,105.63,Molestiae,Calçado,Preto,Culpa nisi eligendi inventore voluptates fugiat voluptatibus.,38,83.42,33.09,53,25,605670.14,2019-04
1859,4,823,697,341,71,248.12,2020-02-14 04:50:12,Online,Simão Gaspar,18,F,Mafra,Online,793.24,Totam,Calçado,Preto,Fugit nesciunt repellat sit labore aspernatur.,44,98.88,14.74,124,16,310823.73,2020-02
1860,3,390,172,274,91,559.55,2021-06-06 09:33:01,Online,Fernando Barbosa,20,M,Oeiras,Online,230.01,Rem,Roupas,Preto,Molestias repellendus tempore minus.,M,97.58,18.05,210,16,386055.96,2021-06
1861,5,219,120,331,76,532.65,2019-08-20 23:32:12,Online,Luís Domingues,56,F,Almada,Online,461.77,Ut,Roupas,Cinzento,Rerum nesciunt natus facere.,S,96.53,46.26,538,22,666849.54,2019-08
1862,5,233,19,498,22,578.88,2014-09-28 16:06:53,Online,Luís Moreira,32,M,Carregal do Sal,Online,791.08,Omnis,Roupas,Preto,Aperiam nesciunt quibusdam expedita ab quasi placeat.,XL,83.67,34.85,648,17,388396.04,2014-09
1863,3,294,85,146,74,831.36,2018-09-29 13:24:10,Física,Joel Pereira,44,M,Estremoz,Física,325.43,Incidunt,Roupas,Cinzento,Non asperiores id labore ad corrupti distinctio.,S,97.75,29.37,583,18,502083.72,2018-09
1864,4,53,245,246,63,402.78,2022-09-24 10:18:24,Física,Frederico Correia-Nunes,26,M,Serpa,Física,292.64,Est,Calçado,Roxo,Distinctio dolor perferendis fuga culpa quisquam.,45,49.09,39.82,220,27,722410.97,2022-09
1865,4,396,901,443,37,758.52,2023-10-16 19:37:41,Online,Eduarda Cruz,41,M,Valongo,Física,922.62,Dolorum,Roupas,Amarelo,Reiciendis at odit sed veritatis.,XXL,82.13,38.63,362,21,425519.74,2023-10
1866,2,306,853,45,3,270.8,2015-04-12 09:46:13,Física,Victória Ribeiro,52,M,Horta,Física,294.26,Eligendi,Calçado,Verde,Sequi est sint iste.,41,62.61,38.65,321,25,553719.21,2015-04
1867,3,222,256,150,56,342.78,2024-09-21 15:11:23,Online,Patrícia Rodrigues,22,M,Penalva do Castelo,Física,317.38,Maxime,Calçado,Branco,Eos eum dolorum dolores.,35,32.67,11.56,33,24,464936.27,2024-09
1868,2,950,674,452,69,892.93,2021-11-02 18:11:23,Física,Martim Macedo,53,M,Paredes,Online,150.27,Nesciunt,Roupas,Rosa,Alias sequi cum nam excepturi quod nostrum.,XL,74.94,25.28,119,14,298237.74,2021-11
1869,2,232,35,165,77,456.77,2021-02-13 06:16:33,Física,Adriana Martins,21,F,Lousada,Física,661.41,Aliquid,Roupas,Vermelho,Ab laudantium voluptates non ratione.,XS,41.4,43.85,184,16,516010.99,2021-02
1870,3,740,978,183,37,424.93,2015-05-24 17:28:44,Online,Flor da Brito,26,F,Ansião,Física,610.94,Impedit,Calçado,Amarelo,Iure facilis dignissimos modi totam reprehenderit omnis ea.,38,55.1,44.35,76,24,589205.92,2015-05
1871,2,401,341,249,96,210.45,2017-07-25 11:18:57,Física,Henrique Vicente,52,F,Marinha Grande,Física,197.87,Ut,Calçado,Rosa,Molestias est eos ratione.,45,28.77,10.05,241,25,674955.62,2017-07
1872,5,875,638,53,2,498.91,2024-05-04 00:11:21,Online,Emília da Pinho,44,M,Faro,Física,660.08,Nam,Roupas,Vermelho,Id quo perferendis.,XL,64.5,26.64,242,19,437344.60000000003,2024-05
1873,3,840,746,63,38,798.81,2015-02-17 15:57:53,Online,Alice Lima,18,M,Guimarães,Online,438.73,Beatae,Calçado,Amarelo,Atque laboriosam quod aperiam eligendi.,41,21.0,24.55,81,18,583423.17,2015-02
1874,5,319,868,453,65,860.04,2022-04-25 16:22:03,Online,Mafalda Nascimento,60,M,Lagos,Online,317.77,Explicabo,Roupas,Laranja,Harum totam quis.,XXL,90.41,16.91,124,19,550471.25,2022-04
1875,3,668,971,431,87,572.6,2017-08-31 20:21:07,Física,Maria Neto,65,F,Vila do Porto,Online,826.34,Soluta,Calçado,Laranja,Nostrum est omnis sunt molestias tenetur.,38,75.57,13.87,150,20,459966.6,2017-08
1876,1,798,829,105,53,806.71,2021-05-09 06:39:07,Física,Luna Barros,38,M,Vieira do Minho,Física,602.2,Explicabo,Calçado,Branco,Optio enim illo debitis enim doloribus soluta.,39,69.04,25.17,47,25,764213.0,2021-05
1877,2,184,952,11,48,163.98,2022-12-24 00:00:50,Física,César Pinheiro,26,F,Velas,Online,833.63,Id,Roupas,Laranja,Minus odit labore dignissimos.,S,93.61,21.29,288,21,486073.72000000003,2022-12
1878,2,442,194,117,70,327.48,2015-09-18 09:57:22,Física,Patrícia Faria,57,M,Viana do Alentejo,Online,549.14,Delectus,Roupas,Amarelo,Laudantium fugiat veniam.,S,68.73,18.96,547,23,521752.31,2015-09
1879,5,62,586,38,69,15.16,2022-09-18 03:20:53,Física,David Santos-Cardoso,65,F,Vila Nova de Poiares,Física,481.49,Laudantium,Roupas,Preto,Esse mollitia distinctio hic.,XL,65.97,46.61,81,19,589473.37,2022-09
1880,3,343,984,291,26,874.48,2018-10-04 11:03:50,Online,Lisandro Pacheco,49,M,Santa Cruz das Flores,Online,739.85,Nihil,Roupas,Cinzento,Ratione ipsa voluptates deserunt nostrum.,XS,74.19,22.79,288,17,442655.15,2018-10
1881,4,794,217,353,95,293.05,2021-09-30 02:04:57,Física,Catarina Barros,55,F,Faro,Online,376.84,Neque,Roupas,Amarelo,Officiis quas reprehenderit.,S,44.15,11.83,6,19,621790.3099999999,2021-09
1882,4,829,839,177,59,578.48,2015-03-14 19:51:45,Online,Diana Torres,36,F,Montemor-o-Novo,Online,643.92,Accusantium,Calçado,Azul,Facere aspernatur voluptas error.,35,53.51,41.5,303,26,624251.65,2015-03
1883,2,278,25,34,42,11.63,2023-01-10 11:18:24,Online,Jéssica Cunha,25,F,Alenquer,Online,815.09,In,Roupas,Verde,Deserunt et ut amet eius.,M,90.79,49.93,162,19,438907.38,2023-01
1884,3,702,560,309,4,691.16,2017-09-15 02:01:55,Física,Vitória-Constança Castro,49,F,Terras de Bouro,Física,734.66,Sint,Calçado,Roxo,Minus quae veniam enim sed.,44,99.35,25.77,315,21,534311.86,2017-09
1885,1,632,187,48,71,568.56,2017-07-21 07:46:06,Física,Paulo Esteves-Esteves,18,F,Lamego,Online,274.22,Modi,Roupas,Verde,Eveniet fugit consequuntur delectus reiciendis.,XL,56.93,48.52,3,26,680063.74,2017-07
1886,5,428,362,397,58,439.6,2023-06-29 02:16:00,Física,Sérgio de Morais,34,M,Machico,Online,904.93,Enim,Roupas,Branco,Assumenda saepe harum error quibusdam blanditiis facere inventore.,M,78.41,10.12,6,25,503683.87,2023-06
1887,5,14,126,30,69,556.07,2019-07-05 20:18:03,Física,Bernardo Reis,40,M,Ponte de Sor,Online,232.82,Exercitationem,Calçado,Branco,Laboriosam voluptatem optio pariatur.,37,65.64,17.19,93,28,776106.45,2019-07
1888,1,215,820,95,31,574.13,2014-06-27 12:14:41,Física,Mariana Vieira,64,M,Santiago do Cacém,Física,653.59,Tempora,Calçado,Laranja,Tempora animi perspiciatis quae nesciunt.,36,21.78,48.66,381,14,389510.99,2014-06
1889,1,736,835,4,25,988.64,2014-09-15 13:33:29,Física,Mário Gomes,38,M,Lisboa,Física,555.72,Excepturi,Roupas,Laranja,Repudiandae quam quia commodi.,S,49.97,26.87,623,10,135098.56,2014-09
1890,4,272,112,421,22,339.04,2018-12-17 15:13:52,Física,Noa Cardoso,25,F,Vila Real de Santo António,Online,721.53,Molestiae,Roupas,Azul,Laborum nulla asperiores asperiores.,S,51.72,40.31,316,16,293427.6,2018-12
1891,2,445,332,158,84,567.19,2021-07-24 00:46:12,Online,Ângelo Sá,60,M,Barcelos,Física,937.36,Rerum,Calçado,Roxo,Ea quaerat labore enim fuga suscipit qui.,38,32.21,34.72,10,19,460438.52,2021-07
1892,3,118,187,162,80,64.15,2024-03-22 16:44:04,Física,Paulo Esteves-Esteves,18,F,Lamego,Online,274.22,Corrupti,Roupas,Amarelo,Natus delectus quas aspernatur.,M,21.18,14.45,3,26,680063.74,2024-03
1893,2,816,7,385,97,194.64,2021-01-18 18:04:58,Online,Erika Sousa,31,M,Oeiras,Física,272.26,Cum,Roupas,Rosa,Totam assumenda architecto voluptas fuga.,L,46.28,24.47,841,17,342448.63999999996,2021-01
1894,2,434,109,104,68,689.02,2014-10-25 05:32:16,Física,Nelson Amorim,38,M,Barcelos,Online,297.09,Eveniet,Roupas,Azul,Voluptatem numquam praesentium atque sunt ipsa.,XXL,49.68,27.3,335,14,372407.67,2014-10
1895,3,649,490,335,36,479.91,2015-08-24 20:13:37,Online,Cláudio Oliveira,62,M,Mealhada,Online,935.11,Enim,Calçado,Cinzento,Perspiciatis magni nam repellendus cupiditate nam odit fugiat.,35,84.01,25.32,132,33,743112.6,2015-08
1896,1,455,136,115,55,775.24,2017-04-20 08:00:18,Física,Letícia Carvalho-Domingues,65,F,Sintra,Online,471.4,Quae,Roupas,Vermelho,Porro doloremque animi perspiciatis.,XS,82.32,19.39,112,17,657322.3999999999,2017-04
1897,1,677,92,97,48,224.28,2024-03-18 17:18:18,Física,Débora Silva,65,M,Faro,Física,222.93,Veniam,Roupas,Branco,Voluptas ab voluptate amet.,L,49.08,38.37,20,36,861200.31,2024-03
1898,4,35,580,55,1,609.71,2020-07-07 10:26:28,Online,Leonor de Barros,32,M,Melgaço,Online,388.7,Quam,Roupas,Preto,Veniam corporis ipsa eveniet.,L,98.33,16.94,80,26,831830.92,2020-07
1899,1,304,138,436,38,476.16,2023-01-26 16:44:15,Online,Juliana Lopes,29,M,Paços de Ferreira,Online,798.79,Et,Calçado,Amarelo,Architecto est praesentium debitis placeat.,44,60.53,47.96,15,28,831637.03,2023-01
1900,2,731,600,367,12,799.76,2022-09-13 19:28:37,Física,Artur Lima,37,F,Braga,Online,470.35,Modi,Roupas,Preto,Veritatis omnis ad officia nobis omnis.,L,29.17,13.06,214,22,360893.29000000004,2022-09
1901,2,540,746,57,54,255.7,2016-08-24 23:44:59,Física,Alice Lima,18,M,Guimarães,Online,438.73,Nulla,Calçado,Preto,Reprehenderit quibusdam fuga in.,41,55.37,44.16,81,18,583423.17,2016-08
1902,4,534,324,144,87,75.69,2022-04-16 23:02:32,Online,Ema Leal,42,F,Pombal,Física,529.83,Quia,Roupas,Roxo,Doloribus repellat blanditiis excepturi.,M,38.36,28.99,210,19,520971.24,2022-04
1903,1,217,977,142,43,561.52,2019-07-25 06:49:48,Online,Violeta Ferreira,31,F,Loures,Online,147.8,Commodi,Roupas,Laranja,Iste soluta aut culpa eum quasi quo.,M,68.77,36.97,342,20,502383.96,2019-07
1904,4,507,199,484,34,572.63,2018-05-22 02:38:57,Física,Samuel Faria,63,M,Vidigueira,Online,109.19,In,Roupas,Branco,Atque recusandae labore quis.,XS,40.38,16.25,106,17,346232.62,2018-05
1905,5,491,991,378,3,978.07,2017-03-11 06:55:20,Física,Francisca Freitas,36,F,Esposende,Física,824.22,Modi,Roupas,Laranja,Inventore cumque autem pariatur sed.,S,50.25,11.95,122,25,438896.8,2017-03
1906,5,937,749,149,28,746.24,2019-02-25 09:47:42,Online,Soraia-Bárbara Paiva,39,F,Vila Real,Física,415.43,Dolores,Roupas,Laranja,Ipsa omnis dolorum ducimus officiis.,L,57.02,37.31,327,20,504134.50999999995,2019-02
1907,2,59,621,170,48,346.91,2019-12-24 06:12:41,Online,Eva-Carlota Henriques,56,M,São Brás de Alportel,Online,977.66,Quisquam,Roupas,Verde,Aut facere officia nobis deserunt placeat modi.,XS,78.73,29.91,72,24,533437.28,2019-12
1908,4,81,302,403,53,27.84,2017-10-18 08:52:23,Online,Melissa Ribeiro,63,M,Póvoa de Lanhoso,Física,221.55,Ad,Calçado,Rosa,Rem dolorum quidem.,38,56.58,17.05,275,24,523664.42,2017-10
